"","day","temp","dewp","num_collisions"
"122",4,58.9,41.2,0.585
"123",5,56.6,37.9,0.686
"124",6,54.7,41.4,0.58
"125",7,52.1,38.7,0.515
"126",1,55.4,44.7,0.561
"127",2,60.9,50.8,0.592
"128",3,60.3,56.6,0.62
"129",4,58.9,54.2,0.602
"130",5,66.9,54,0.698
"131",6,64.4,60.1,0.523
"132",7,62.6,45.3,0.527
"133",1,51.7,26.7,0.577
"134",2,51.1,27.2,0.565
"135",3,58,39.9,0.532
"136",4,69.5,51,0.559
"137",5,66.4,40.2,0.742
"138",6,61,46.6,0.506
"139",7,57.3,53.4,0.544
"140",1,65,60,0.658
"141",2,75.9,65.2,0.697
"142",3,71,63.4,0.57
"143",4,71.5,66.2,0.735
"144",5,59.6,57,0.668
"145",6,48.1,41.7,0.514
"146",7,55.5,35.6,0.455
"147",1,61.7,34.9,0.42
"148",2,61.1,47.1,0.686
"149",3,66.9,60.6,0.574
"150",4,81,63.4,0.685
"151",5,83,63.4,0.736
"152",6,80.8,64.1,0.631
"153",7,80.1,65.9,0.487
"154",1,72.2,67.3,0.707
"155",2,66.1,45.6,0.613
"156",3,66,41.7,0.599
"157",4,63.8,53.8,0.605
"158",5,61.5,59.4,0.791
"159",6,64.9,58.9,0.571
"160",7,71.7,57.6,0.533
"161",1,67.7,62.1,0.624
"162",2,69.6,63.6,0.635
"163",3,70.9,53.2,0.615
"164",4,65.7,55.6,0.535
"165",5,59.9,53.8,0.693
"166",6,69.4,52,0.596
"167",7,72.8,53.8,0.477
"168",1,75.3,63.4,0.614
"169",2,72.8,63.8,0.613
"170",3,67.4,54.4,0.622
"171",4,69.6,52.4,0.681
"172",5,71.6,51.6,0.69
"173",6,72.4,54,0.599
"174",7,76.1,62.6,0.505
"175",1,80.6,68.1,0.68
"176",2,80.9,64.9,0.648
"177",3,79.4,65.6,0.621
"178",4,78.1,68.7,0.598
"179",5,77.1,69.4,0.608
"180",6,76.2,65.9,0.591
"181",7,77.5,70.8,0.423
"182",1,74.2,71,0.633
"183",2,75.6,71.7,0.601
"184",3,76,71.4,0.635
"185",4,79.5,72.8,0.438
"186",5,82.3,70.7,0.576
"187",6,84.6,70.1,0.516
"188",7,85.6,70.7,0.475
"189",1,81.3,65.8,0.617
"190",2,78.8,67.2,0.583
"191",3,79.4,70.5,0.614
"192",4,80.6,68.7,0.55
"193",5,75,62.6,0.599
"194",6,72.2,68.9,0.575
"195",7,80.3,71.5,0.471
"196",1,85.3,69.7,0.581
"197",2,85.9,66.3,0.582
"198",3,86.7,66.3,0.609
"199",4,88.2,68.6,0.636
"200",5,89.1,72.1,0.697
"201",6,86.7,70.1,0.551
"202",7,82.3,63.7,0.447
"203",1,78.2,70,0.591
"204",2,78.7,71.4,0.571
"205",3,78.5,64.5,0.571
"206",4,67.3,52.3,0.507
"207",5,72.2,57.5,0.617
"208",6,75.2,61.2,0.516
"209",7,73.3,65.2,0.485
"210",1,75.1,64.9,0.597
"211",2,74.4,53.3,0.584
"212",3,74.1,56.3,0.553
"213",4,71.5,62.8,0.643
"214",5,73.6,62.9,0.626
"215",6,73.4,60,0.492
"216",7,73.2,56,0.454
"217",1,70.2,47,0.545
"218",2,72.1,52.5,0.543
"219",3,73.4,60.5,0.508
"220",4,73.8,69.3,0.549
"221",5,77,71.9,0.579
"222",6,77.2,62.8,0.495
"223",7,73.5,53,0.481
"224",1,74.5,64.2,0.519
"225",2,73.2,67.2,0.553
"226",3,68.3,52.3,0.622
"227",4,68.6,47.5,0.599
"228",5,70.9,51.5,0.678
"229",6,72.6,53.5,0.504
"230",7,72.1,54.6,0.442
"231",1,72.1,58.2,0.462
"232",2,76.6,61.9,0.542
"233",3,80.1,61.4,0.562
"234",4,75.6,68.8,0.578
"235",5,75.5,60.8,0.636
"236",6,72,49.8,0.527
"237",7,72.8,53.9,0.459
"238",1,74.5,56.8,0.521
"239",2,77.8,66.1,0.507
"240",3,76.4,68,0.482
"241",4,73.8,67.5,0.572
"242",5,75.1,64.3,0.599
"243",6,78.3,68.8,0.48
"244",7,78.9,70.1,0.48
"245",1,76.9,71.8,0.431
"246",2,75.7,64.8,0.551
"247",3,72.7,54,0.604
"248",4,73,51.4,0.493
"249",5,64.7,39.9,0.525
"250",6,67.8,45.9,0.585
"251",7,73.7,52.8,0.5
"252",1,65.3,45.6,0.632
"253",2,74.9,63.7,0.629
"254",3,84.4,70.9,0.576
"255",4,80,69.8,0.695
"256",5,70.1,61.5,0.652
"257",6,60.3,44.5,0.519
"258",7,60.4,43.3,0.476
"259",1,65.2,51.7,0.57
"260",2,57.8,38.3,0.627
"261",3,60,41.9,0.571
"262",4,64.3,47.4,0.536
"263",5,67.6,53.9,0.631
"264",6,67.7,59.5,0.546
"265",7,65.3,53.6,0.585
"266",1,57.5,39.8,0.661
"267",2,58.4,40.3,0.615
"268",3,62.5,43.4,0.539
"269",4,63,52.3,0.516
"270",5,61.8,50.8,0.553
"271",6,64.1,49.4,0.547
"272",7,63.7,52.2,0.506
"273",1,63.1,50.7,0.605
"274",2,68.2,52.1,0.616
"275",3,72.7,55.9,0.647
"276",4,71.7,54.7,0.59
"277",5,73.5,59.7,0.658
"278",6,69.5,61.5,0.497
"279",7,67.2,63.1,0.404
"280",1,69.6,64.7,0.618
"281",2,60.8,43.9,0.574
"282",3,58.3,42.3,0.529
"283",4,58.4,48.4,0.559
"284",5,63.3,54.4,0.621
"285",6,65.2,45.7,0.556
"286",7,60.3,49.4,0.502
"287",1,58.2,46.2,0.44
"288",2,60,49.6,0.615
"289",3,60.6,51.9,0.548
"290",4,65.3,58.1,0.574
"291",5,63.5,47.6,0.68
"292",6,58.3,42,0.471
"293",7,57.4,39.6,0.49
"294",1,57.4,35.5,0.616
"295",2,59.5,44.8,0.54
"296",3,51.8,35.1,0.558
"297",4,47.4,29.5,0.632
"298",5,46.3,27.4,0.647
"299",6,47.9,29,0.626
"300",7,52.1,28.9,0.512
"301",1,51.5,29.6,0.62
"302",2,50.2,30,0.6
"303",3,52.8,39,0.558
"304",4,59.7,52.7,0.615
"305",5,66.2,56.7,0.71
"306",6,61.3,46.6,0.551
"307",7,49.6,32.9,0.415
"308",1,39.4,15.9,0.658
"309",2,46.8,30.4,0.51
"310",3,54.4,42.1,0.635
"311",4,57.8,51,0.646
"312",5,45,26.7,0.682
"313",6,43.7,24.2,0.571
"314",7,49.6,31.1,0.474
"315",1,48.2,25,0.456
"316",2,42.8,24.9,0.647
"317",3,33.1,12.9,0.593
"318",4,40.7,15.2,0.62
"319",5,50,20.2,0.617
"320",6,52.3,35.5,0.612
"321",7,54.6,49.8,0.532
"322",1,60.4,45.5,0.611
"323",2,47.1,23.1,0.6
"324",3,37.5,16,0.607
"325",4,42.1,24.8,0.628
"326",5,52.8,43.7,0.702
"327",6,46.3,27.8,0.536
"328",7,27.6,4.8,0.494
"329",1,27.5,6.8,0.71
"331",3,48.5,44.4,0.742
"332",4,33.2,13.3,0.429
"333",5,33.7,13.8,0.437
"334",6,31.2,14.3,0.479
"335",7,41.3,28.2,0.42
"336",1,45.1,32.4,0.549
"337",2,44.8,34.3,0.553
"338",3,45.7,34.7,0.52
"339",4,52.8,47,0.573
"340",5,52.4,48.3,0.759
"341",6,38.2,29.1,0.567
"342",7,31.6,15.6,0.456
"343",1,34.6,31.2,0.639
"344",2,35.7,30.2,0.539
"345",3,30.1,14.1,0.605
"346",4,26.8,8,0.648
"347",5,27.8,7.7,0.695
"348",6,28.2,17.5,0.69
"349",7,33.1,27.5,0.45
"350",1,30.3,12.7,0.64
"351",2,27.3,16,0.703
"352",3,28.9,18.3,0.701
"353",4,36.5,20.7,0.607
"354",5,46.8,28.4,0.674
"355",6,55.4,44.4,0.594
"356",7,65.5,55.4,0.505
"357",1,59.8,54,0.707
"358",2,38.8,23.9,0.515
"360",4,31.9,18.7,0.428
"361",5,35.2,18.7,0.476
"362",6,43,22,0.475
"363",7,45.9,30.4,0.394
"364",1,39.8,29.2,0.476
"365",2,26,10.4,0.465
"366",3,28.2,10.7,0.399
"367",4,28.5,19.6,0.603
"368",5,15.6,6.7,0.423
"369",6,15.8,-1.4,0.418
"371",1,45.6,39.8,0.518
"372",2,12.3,-8,0.491
"373",3,12.9,-5.1,0.616
"374",4,25.3,5.4,0.561
"375",5,32.3,22.6,0.667
"376",6,47.7,45.2,0.465
"377",7,47.6,33.8,0.388
"378",1,42.7,29.3,0.568
"379",2,48.3,40,0.559
"380",3,42.6,37.5,0.583
"381",4,39.4,32.7,0.521
"382",5,37.8,23.5,0.589
"383",6,37.6,26.9,0.448
"384",7,29.1,16,0.38
"385",1,39,21.1,0.36
"387",3,12.3,0,0.498
"388",4,13.1,-2.3,0.612
"389",5,14.7,-3.6,0.705
"390",6,21.8,6.6,0.475
"391",7,21.4,5.3,0.465
"392",1,34.8,17.4,0.511
"393",2,17.8,-7.2,0.504
"394",3,17.4,-2.4,0.649
"395",4,21.2,0.2,0.657
"396",5,30.7,9.9,0.56
"397",6,39.1,17.2,0.507
"398",7,45.1,34.2,0.417
"400",2,28.3,20.9,0.613
"401",3,31.8,27.5,0.468
"402",4,27.3,18.7,0.569
"403",5,27.6,13.5,0.675
"404",6,25.9,5,0.424
"405",7,25.5,8.3,0.45
"406",1,25.1,12.4,0.678
"407",2,21.7,4.1,0.636
"408",3,18.9,2.7,0.64
"409",4,29.9,24.8,0.447
"410",5,35.5,26.4,0.792
"411",6,35.6,23.9,0.516
"412",7,26.6,11.6,0.464
"413",1,23.7,3.1,0.491
"414",2,32,18.5,0.518
"415",3,38.4,28.2,0.552
"416",4,42.8,26.6,0.556
"417",5,39.4,36.3,0.545
"418",6,46,25.8,0.587
"419",7,48.6,26,0.414
"420",1,39.1,17,0.569
"421",2,28.2,9,0.513
"422",3,27.4,9.3,0.511
"423",4,24.6,1.3,0.571
"424",5,16.5,-8,0.655
"425",6,27.2,5.8,0.497
"427",1,25.3,7.2,0.44
"428",2,20.1,-0.1,0.532
"429",3,31.3,6,0.491
"430",4,24.5,4.1,0.558
"431",5,30.2,17.9,0.533
"432",6,42.8,26.9,0.515
"433",7,41.4,18.9,0.404
"434",1,42.3,18.9,0.513
"435",2,53.6,30.9,0.51
"436",3,52.5,38.4,0.515
"437",4,28.7,11.7,0.545
"438",5,30.5,5.2,0.585
"439",6,49.9,24.2,0.519
"440",7,37,10.4,0.412
"441",1,28.9,2.5,0.519
"442",2,33.9,7.3,0.551
"443",3,36.9,27.1,0.525
"444",4,45.6,34.5,0.627
"445",5,44.1,18.4,0.589
"446",6,49.9,25.2,0.493
"447",7,40.9,17.7,0.427
"448",1,28,2.8,0.547
"449",2,32.4,7.4,0.474
"450",3,33.1,9.4,0.563
"451",4,30.5,6.5,0.538
"452",5,48,33.7,0.53
"453",6,50.7,42.9,0.569
"454",7,45.3,41.9,0.437
"455",1,43.5,32.6,0.559
"456",2,46.8,26.9,0.549
"457",3,47.3,35.6,0.519
"458",4,53.6,30.8,0.592
"459",5,44.4,35.3,0.622
"460",6,45.8,32.8,0.58
"461",7,45.3,19.9,0.484
"462",1,47.2,31.4,0.533
"463",2,52.6,44.1,0.606
"464",3,52.2,28.7,0.595
"465",4,50.5,19.3,0.645
"466",5,62.1,37.1,0.609
"467",6,60.4,39.7,0.578
"468",7,63,42.1,0.482
"469",1,67.3,52.2,0.514
"470",2,58.5,53.5,0.452
"471",3,38.8,22,0.57
"472",4,41.6,21.3,0.508
"473",5,41.4,28.1,0.496
"474",6,52.6,28.3,0.525
"475",7,52.1,26.1,0.393
"476",1,52,27.4,0.521
"477",2,59,44.3,0.459
"478",3,55.7,38.4,0.536
"479",4,50.5,18.2,0.586
"480",5,52.6,19.4,0.617
"481",6,53,42,0.548
"482",7,51.9,34.6,0.449
"483",1,54.5,32.5,0.597
"484",2,49.7,36.8,0.555
"485",3,44.2,40.6,0.651
"486",4,61.1,52.4,0.65
"487",5,63.4,41.8,0.698
"488",6,61.3,36.6,0.59
"489",7,57.6,41,0.451
"490",1,58.4,29.7,0.618
"491",2,60.3,28,0.565
"492",3,59.1,28.5,0.603
"493",4,55.9,48.7,0.596
"494",5,58,54.6,0.584
"495",6,65.6,60.2,0.549
"496",7,70.1,46.3,0.584
"497",1,73.8,49.3,0.581
"498",2,68.5,49.5,0.56
"499",3,58.2,47.3,0.638
"500",4,63.1,59.5,0.659
"501",5,65.9,62.8,0.7
"502",6,61.6,48.2,0.619
"503",7,60,36.4,0.507
"504",1,60.3,32.4,0.572
"505",2,66.2,36.9,0.65
"506",3,69.5,45.3,0.575
"507",4,62.7,56.3,0.593
"508",5,62.2,56.5,0.66
"509",6,60.2,54.1,0.486
"510",7,65.8,51.1,0.472
"511",1,74.7,48,0.433
"512",2,78.3,55,0.645
"513",3,61.5,52.8,0.538
"514",4,56.3,43.4,0.663
"515",5,63.3,44.7,0.65
"516",6,64.2,48.7,0.587
"517",7,64.8,41.2,0.604
"518",1,69.7,45.4,0.643
"519",2,75.3,58.5,0.663
"520",3,70.8,62.3,0.582
"521",4,68.1,60,0.569
"522",5,67.7,47.9,0.743
"523",6,71,50.9,0.623
"524",7,75,53.9,0.516
"525",1,67.4,59.2,0.528
"526",2,69.5,64.5,0.569
"527",3,67,60.6,0.576
"528",4,64.7,59.5,0.563
"529",5,69.5,65.6,0.708
"530",6,69,59.3,0.613
"531",7,67.7,50.3,0.475
"532",1,72.3,55.3,0.622
"533",2,77.7,62.1,0.666
"534",3,83.4,62.7,0.663
"535",4,74.9,62,0.675
"536",5,71.8,50.5,0.765
"537",6,70.4,46.6,0.557
"538",7,69.8,53.2,0.477
"539",1,71.8,54.4,0.644
"540",2,73.1,57.9,0.632
"541",3,75.4,65.8,0.646
"542",4,76.6,67.6,0.67
"543",5,75.1,60.6,0.66
"544",6,74.5,54.8,0.611
"545",7,74.4,56.2,0.537
"546",1,75.7,59.1,0.61
"547",2,79.1,66.8,0.616
"548",3,81.3,69.4,0.658
"549",4,77.3,71.8,0.74
"550",5,70.4,65.9,0.36
"551",6,71.4,49.1,0.505
"552",7,76,52.5,0.451
"553",1,79.8,61.8,0.614
"554",2,81.4,66.6,0.594
"555",3,78.8,65,0.569
"556",4,75.4,62.1,0.584
"557",5,76.8,58.4,0.642
"558",6,76.2,60.5,0.55
"559",7,75.8,65.2,0.439
"560",1,75.7,70.8,0.567
"561",2,75.3,72,0.587
"562",3,73.3,64.9,0.551
"563",4,73.6,54.8,0.587
"564",5,73.4,52.8,0.624
"565",6,72.2,51.3,0.48
"566",7,71.9,58.5,0.451
"567",1,73.9,60.3,0.557
"568",2,77,63.5,0.587
"569",3,79.7,66.9,0.591
"570",4,75.1,63.6,0.539
"571",5,73.7,53.4,0.653
"572",6,73.9,59.9,0.534
"573",7,77,67,0.476
"574",1,75.8,65.3,0.595
"575",2,69.6,52.5,0.526
"576",3,70.8,51.2,0.605
"577",4,73.5,57.3,0.626
"578",5,75.5,65.2,0.667
"579",6,70.4,61.8,0.54
"580",7,69.5,62.3,0.476
"581",1,75,64.7,0.589
"582",2,78.6,61.8,0.606
"583",3,76.3,60.3,0.562
"584",4,74.4,52.5,0.585
"585",5,73.2,51.2,0.601
"586",6,76,52.8,0.538
"587",7,77.5,56.1,0.512
"588",1,77.5,56.2,0.604
"589",2,74.4,64.9,0.491
"590",3,72.5,66.3,0.572
"591",4,70.9,52.5,0.625
"592",5,68,48.8,0.522
"593",6,70.3,50.5,0.49
"594",7,73.6,54.5,0.476
"595",1,72,52.3,0.595
"596",2,72.2,56.5,0.516
"597",3,75.1,60.5,0.551
"598",4,73.9,60.3,0.567
"599",5,70.6,62.7,0.568
"600",6,70.4,58.2,0.454
"601",7,70.7,58.4,0.437
"602",1,74.3,57.8,0.549
"603",2,77.7,61.6,0.608
"604",3,78.5,60.9,0.538
"605",4,76.4,56.2,0.618
"606",5,69.6,48.9,0.631
"607",6,71.4,56.4,0.51
"608",7,77,66.9,0.495
"609",1,79.3,70.6,0.392
"610",2,83.5,69.5,0.7
"611",3,79.4,59.5,0.58
"612",4,77.9,56.9,0.727
"613",5,78.2,67.8,0.647
"614",6,80.9,70.9,0.553
"615",7,72.6,57.5,0.477
"616",1,70.1,52.2,0.598
"617",2,68.1,56,0.592
"618",3,69.4,56.7,0.618
"619",4,73.9,63.5,0.619
"620",5,70.1,52.7,0.73
"621",6,63.9,52.7,0.558
"622",7,60.9,48.3,0.528
"623",1,62.8,43.4,0.61
"624",2,63.5,53.5,0.613
"625",3,64.3,45.5,0.658
"626",4,65.8,47.4,0.65
"627",5,61.6,44.5,0.648
"628",6,65,52.7,0.594
"629",7,70.2,65,0.515
"630",1,67.3,52.7,0.662
"631",2,60.1,40.1,0.592
"632",3,64.1,52.3,0.566
"633",4,61.7,53.7,0.491
"634",5,66.2,51.3,0.643
"635",6,70.7,53.4,0.6
"636",7,73.1,57.4,0.512
"637",1,72.4,57.9,0.566
"638",2,68.8,57.9,0.589
"639",3,63.2,57.1,0.559
"640",4,63.5,54.1,0.558
"641",5,62.9,50.7,0.719
"642",6,64.2,57.1,0.531
"643",7,53.1,34.7,0.505
"644",1,58.6,42.1,0.639
"645",2,66.2,52.6,0.62
"646",3,66.7,53,0.639
"647",4,62.6,37.8,0.499
"648",5,58.7,37,0.541
"649",6,54.9,46.5,0.546
"650",7,54,41.1,0.473
"651",1,58.7,47.7,0.451
"652",2,67.9,61.3,0.697
"653",3,71.4,64.8,0.575
"654",4,68.8,63.8,0.602
"655",5,64.6,51.4,0.648
"656",6,63.8,50.3,0.494
"657",7,53.4,34.4,0.483
"658",1,49.4,30.9,0.591
"659",2,60.2,46.2,0.607
"660",3,55.5,51.2,0.708
"661",4,51.4,46.9,0.639
"662",5,54.7,43.3,0.669
"663",6,58.1,39.2,0.515
"664",7,58.4,38.6,0.515
"665",1,56,35.6,0.642
"666",2,60.6,44,0.571
"667",3,64.5,52.4,0.556
"668",4,52.5,40.3,0.626
"669",5,49.9,34.8,0.668
"670",6,46.5,39.1,0.656
"671",7,44.1,28.1,0.532
"672",1,47.6,22.7,0.625
"673",2,59.5,23.7,0.538
"674",3,60.4,36.4,0.554
"675",4,52,42.2,0.652
"676",5,49,38.5,0.641
"677",6,41.9,24.7,0.543
"678",7,50,32,0.419
"679",1,51.9,32.5,0.56
"680",2,56.4,47.7,0.493
"681",3,59.5,52.6,0.546
"682",4,45.1,30.1,0.696
"683",5,38.6,26,0.654
"684",6,37.2,17.3,0.529
"685",7,40,20.4,0.429
"686",1,43.7,38.2,0.666
"687",2,35.4,16.3,0.712
"688",3,26.7,4.5,0.633
"689",4,38.2,16.3,0.635
"690",5,32.3,8.1,0.677
"691",6,34.3,11.1,0.512
"692",7,47.4,22.2,0.425
"693",1,60.7,53.2,0.722
"694",2,60,40.4,0.599
"695",3,42.9,30.4,0.742
"696",4,36.3,30.3,0.378
"697",5,33.5,19.6,0.444
"698",6,31.4,12.7,0.394
"699",7,47.5,30.7,0.377
"700",1,55.4,40.5,0.644
"701",2,39.4,26.8,0.611
"702",3,43.8,39.6,0.569
"703",4,41.2,22.5,0.606
"704",5,38.4,26,0.673
"705",6,44.8,42,0.628
"706",7,38.2,24.6,0.493
"707",1,29.2,11.1,0.579
"708",2,38.2,33.7,0.645
"709",3,37.7,32.7,0.649
"710",4,34.1,22.5,0.669
"711",5,34.5,21,0.687
"712",6,37.5,23.7,0.594
"713",7,41,28.3,0.439
"714",1,41.6,28.7,0.72
"715",2,43.2,35.2,0.645
"716",3,47.4,39.7,0.555
"717",4,40.7,24.2,0.621
"718",5,36.2,21.6,0.652
"719",6,31.7,19.1,0.505
"720",7,32.4,23.2,0.409
"721",1,37.4,31.8,0.566
"722",2,44.4,41.8,0.732
"723",3,45.5,44.1,0.519
"725",5,44.9,27.6,0.446
"726",6,47.7,30.1,0.406
"728",1,41.4,21.6,0.411
"729",2,32.5,14.6,0.469
"730",3,29.4,8.5,0.461
"731",4,31.4,8.1,0.395
"732",5,38.7,16.1,0.442
"733",6,35.5,22.4,0.456
"734",7,45.4,42.3,0.381
"735",1,40.9,19.1,0.498
"736",2,21,4.8,0.777
"737",3,20.7,5.7,0.538
"738",4,13,-6.2,0.573
"739",5,24.9,7.5,0.751
"740",6,21.1,-0.3,0.481
"742",1,36.9,23.7,0.58
"743",2,29.5,17.3,0.613
"744",3,22.8,9.5,0.506
"745",4,29.5,16.3,0.548
"746",5,33.4,14.9,0.563
"747",6,22.2,1.8,0.495
"749",1,39.2,27.9,0.496
"750",2,37.5,20.2,0.5
"751",3,31.4,8.9,0.495
"752",4,34.4,19,0.508
"753",5,32.7,15.6,0.598
"754",6,35.4,29.3,0.428
"755",7,37.8,20,0.406
"756",1,26.5,12.7,0.484
"758",3,23.6,3.8,0.458
"759",4,26.6,6.5,0.519
"760",5,34.2,23,0.622
"761",6,19.6,-0.2,0.526
"762",7,27.6,11.4,0.361
"763",1,29.9,25,0.68
"764",2,18.1,7.6,0.74
"765",3,31.2,17.3,0.585
"766",4,33.8,16.1,0.569
"767",5,17.9,-1.5,0.652
"768",6,29.8,12.6,0.449
"769",7,35.1,27.6,0.394
"770",1,27.7,21,0.547
"771",2,30,19.3,0.571
"772",3,28.3,12.2,0.61
"773",4,32.3,19.4,0.526
"774",5,16.1,-4.7,0.757
"775",6,23.4,4.9,0.436
"776",7,18.9,4.1,0.454
"777",1,9.8,-11.8,0.402
"778",2,20.2,5,0.62
"779",3,24.9,10.3,0.626
"780",4,20.9,2.1,0.515
"781",5,10,-11.1,0.621
"782",6,20.5,3.2,0.517
"783",7,34.3,28.2,0.519
"784",1,28.2,8.4,0.574
"785",2,12.1,-6.8,0.58
"786",3,27.6,9.5,0.628
"787",4,26.8,8.2,0.539
"788",5,23.2,5,0.703
"789",6,21.5,-1.9,0.538
"790",7,27.2,7,0.693
"791",1,32.4,19.1,0.65
"792",2,28.2,11.9,0.631
"793",3,38.5,33,0.574
"794",4,30.3,27.2,0.83
"796",6,26.1,8.7,0.578
"797",7,41.4,21.3,0.464
"798",1,46.6,23,0.661
"799",2,47.2,30.1,0.584
"800",3,48.8,39.6,0.565
"801",4,45.1,11,0.586
"802",5,37.6,4.8,0.609
"803",6,44,37.5,0.507
"804",7,42.4,31.3,0.459
"805",1,40.7,23.7,0.529
"806",2,49.7,31.1,0.528
"807",3,33.9,8.7,0.547
"808",4,34,5.1,0.582
"809",5,34.5,12.3,0.57
"810",6,33.7,27.5,0.507
"811",7,39.1,16.9,0.432
"812",1,30.3,4.3,0.586
"813",2,33.8,5.9,0.601
"814",3,39.9,20.1,0.538
"815",4,46.9,42.5,0.525
"816",5,43.9,36.6,0.532
"817",6,37.2,21.1,0.459
"818",7,33.4,6.3,0.505
"819",1,43.3,20.5,0.556
"820",2,42.2,27.9,0.628
"821",3,38.9,22.1,0.648
"822",4,51.8,21.2,0.653
"823",5,61.1,43.9,0.491
"824",6,52.9,35.8,0.507
"825",7,49.3,20.8,0.422
"826",1,50.8,34.8,0.51
"827",2,54.9,41,0.452
"828",3,42.3,32.8,0.457
"829",4,38.8,33.5,0.452
"830",5,44.6,41.3,0.486
"831",6,54.1,34.6,0.576
"832",7,51.3,26.1,0.443
"833",1,57.7,35.7,0.554
"834",2,60.7,41.5,0.542
"835",3,61,22.9,0.595
"836",4,58,21,0.56
"837",5,60.5,48.6,0.679
"838",6,68,43.4,0.605
"839",7,58.7,27.8,0.471
"840",1,51.1,45.5,0.63
"841",2,56.3,44.9,0.645
"842",3,57.7,34.7,0.568
"843",4,46.8,26.5,0.612
"844",5,43.5,17.9,0.676
"845",6,47,21.2,0.592
"846",7,54.1,27.4,0.477
"847",1,54.5,29.2,0.558
"848",2,59,34.1,0.613
"849",3,64.9,36.8,0.679
"850",4,55.6,38.9,0.64
"851",5,53.6,38.7,0.642
"852",6,55.1,40.1,0.54
"853",7,61.6,36.8,0.555
