"","day","temp","dewp","num_collisions"
"1435",1,42.8,31.6,0.791
"1446",5,20.7,2.8,0.792
"1447",6,29.9,22.2,0.623
"1452",4,41.6,22.7,0.7
"1462",7,44.8,22.9,0.485
"1466",4,31.4,9.3,0.552
"1467",5,30.2,16,0.6
"1474",5,51.4,35.8,0.604
"1481",5,41.9,33,0.605
"1482",6,42.9,41,0.475
"1502",5,24.2,6.2,0.708
"1510",6,45.7,21.7,0.57
"1820",1,35.7,25.5,0.333
"1824",5,15.4,-0.8,0.598
"1500",3,45.9,39.9,0.673
"1528",3,54.2,36.7,0.609
"1598",3,76,53.2,0.753
"1604",2,62.2,52.9,0.659
"1612",3,63.1,58.6,0.669
"1615",6,64.3,41.3,0.637
"1619",3,57.8,47.4,0.675
"1766",3,50,33.6,0.607
"1787",3,51,40.5,0.774
"1790",6,48.7,30.4,0.456
"1791",7,47.1,29,0.485
"1792",1,43.5,24.3,0.635
"1801",3,49.3,34.5,0.651
"1812",7,34.7,22.3,0.547
"1813",1,38.7,30.3,0.706
"1818",6,41.3,39.2,0.565
"1827",1,11.7,-4.6,0.453
"1831",5,14.9,-2.5,0.7
"1832",6,10.2,-9.4,0.599
"1839",6,43.6,36.8,0.603
"1846",6,43.3,21.8,0.53
"1847",7,46,28.3,0.418
"1867",6,43,37.6,0.549
"1875",7,37.2,27.4,0.472
"2185",2,36.8,21.3,0.328
"2189",6,51.9,41.7,0.499
"1865",4,31,18.2,0.616
"1893",4,35.7,28,0.633
"1963",4,61.2,58.5,0.732
"1969",3,66.7,57.5,0.729
"1977",4,64.8,60.4,0.698
"1980",7,64,55.7,0.525
"1984",4,63.6,53.2,0.693
"2131",4,62.2,52.7,0.696
"2152",4,25.2,3.2,0.412
"2155",7,49.1,42.4,0.483
"2156",1,50,40.9,0.743
"2157",2,43.3,34.5,0.609
"2166",4,34.5,18.8,0.681
"2177",1,40.4,32,0.689
"2178",2,35.5,15.8,0.731
"2183",7,40,23.5,0.505
"2192",2,50.5,43.2,0.43
"2196",6,44.2,41,0.455
"2197",7,43.5,30,0.376
"2204",7,29.4,9.9,0.374
"2211",7,34,29.5,0.411
"2212",1,10.7,-5.3,0.412
"2232",7,28.3,8.7,0.445
"2240",1,35.6,29.7,0.406
"2550",3,38.7,22.1,0.264
"2554",7,42.6,30.2,0.384
"2230",5,45,36.1,0.661
"2258",5,30.5,11.1,0.652
"2328",5,67.8,51.5,0.726
"2334",4,64.2,51.5,0.722
"2342",5,69.1,60.1,0.765
"2345",1,64.4,44.9,0.659
"2349",5,72.8,59.3,0.734
"2496",5,54.9,39,0.782
"2517",5,49.2,34.8,0.633
"2520",1,44.8,32.6,0.641
"2521",2,51.6,36.6,0.702
"2522",3,54.3,43.2,0.561
"2531",5,40.6,23.7,0.563
"2542",2,33.5,29.8,0.7
"2543",3,33,24.8,0.701
"2548",1,46.5,27,0.593
